cpu,memory,error_rate,latency,failed
24.87,61.66,0.0354,56.4,0
86.85,94.9,0.1043,358.4,0
67.82,68.46,0.0503,209.8,0
55.69,63.78,0.0265,120.9,0
93.68,95.97,0.1328,616.5,1
38.43,52.37,0.0058,73.0,0
54.89,73.02,0.0678,174.5,0
72.71,75.43,0.0617,248.1,1
57.89,34.84,0.0152,67.3,0
57.08,32.47,0.0019,42.4,0
55.67,46.96,0.0383,103.9,0
95.42,98.62,0.1437,722.4,1
64.01,56.07,0.0395,249.5,0
17.96,63.25,0.0379,142.9,0
53.67,61.27,0.0563,176.0,0
91.68,96.65,0.1329,698.7,1
63.83,67.69,0.0564,268.2,0
78.48,88.32,0.0932,347.6,1
81.03,85.8,0.1026,284.4,0
75.43,89.91,0.0552,371.3,1
86.4,95.13,0.1552,408.2,1
88.86,94.59,0.0639,444.1,1
86.98,88.44,0.1151,350.6,1
90.0,98.38,0.1864,454.2,1
91.53,95.27,0.2812,663.7,1
96.25,100,0.1306,651.4,1
86.15,94.4,0.2619,513.9,1
25.57,22.18,0.0141,175.9,0
84.95,87.22,0.1141,376.3,1
58.42,32.03,0.0228,130.5,0
65.57,73.53,0.0371,197.7,0
96.55,96.04,0.2505,749.5,1
85.59,92.44,0.0878,267.2,1
40.31,27.0,0.0148,65.4,0
94.07,93.21,0.2021,396.1,1
83.61,87.04,0.104,344.1,0
84.16,88.28,0.0941,300.3,1
58.06,24.45,0.0301,192.8,0
84.91,91.12,0.0933,404.2,1
71.05,82.28,0.0942,329.6,0
56.13,20.98,0.0416,98.5,0
69.55,58.83,0.0533,237.3,0
57.9,71.65,0.0259,213.4,0
57.07,57.38,0.0321,187.6,0
17.21,59.62,0.0352,111.8,0
84.63,92.44,0.1488,562.4,1
92.8,91.22,0.2459,801.4,1
60.27,71.03,0.06,262.9,1
91.12,94.44,0.2414,736.4,1
89.63,90.9,0.1112,378.0,1
82.75,76.27,0.0609,287.0,0
84.89,74.42,0.0909,421.1,0
40.93,23.62,0.0176,89.4,0
82.56,77.02,0.067,280.5,1
82.54,86.11,0.0806,331.3,1
83.4,81.33,0.1059,298.3,1
31.04,39.79,0.0206,197.1,0
35.36,61.44,0.029,93.4,0
44.73,26.38,0.0407,151.1,0
73.34,75.84,0.1113,321.0,1
77.98,75.46,0.0743,394.7,1
78.82,86.88,0.0725,310.9,0
80.33,86.57,0.1049,338.3,1
83.51,78.5,0.0649,281.3,0
70.9,75.42,0.0803,368.3,1
94.3,97.46,0.2369,783.3,1
39.39,27.9,0.0372,93.6,0
87.15,88.94,0.1656,681.1,1
92.07,98.71,0.1507,414.5,1
83.91,84.08,0.1009,282.8,1
91.39,98.77,0.1693,486.1,1
84.2,85.74,0.056,280.2,0
68.78,75.92,0.0618,234.2,1
95.22,98.66,0.1451,573.0,1
91.71,96.29,0.1145,692.0,1
44.35,61.65,0.0307,86.7,0
61.71,55.29,0.0327,276.3,1
83.71,92.75,0.0559,363.7,1
73.21,73.56,0.0271,206.5,0
96.18,95.94,0.2593,477.8,1
77.89,79.78,0.0972,316.7,1
21.32,26.01,0.0296,118.4,0
86.64,100,0.2389,441.8,1
62.23,77.9,0.0414,178.3,1
95.15,90.45,0.2875,523.4,1
18.05,37.94,0.0219,197.8,0
80.03,84.4,0.106,241.6,1
91.28,98.16,0.1703,589.9,1
37.03,20.08,0.0203,176.9,0
50.43,76.75,0.0547,206.8,0
42.24,22.67,0.0043,153.2,0
86.5,85.3,0.1139,406.4,1
45.01,48.28,0.0282,52.5,0
99.75,90.12,0.1829,798.7,1
43.42,50.5,0.0155,50.9,0
52.65,70.46,0.0666,139.4,0
53.74,81.2,0.0486,243.6,0
80.65,92.22,0.07,274.5,1
73.5,91.12,0.1018,298.4,1
79.08,93.39,0.0934,350.6,1
35.94,41.56,0.0344,171.2,0
73.33,79.09,0.1184,336.8,1
75.23,83.58,0.0888,279.7,1
16.05,33.45,0.014,199.9,0
69.78,71.3,0.0428,198.6,0
91.98,96.91,0.2028,784.1,1
88.84,91.04,0.0872,373.9,1
78.12,93.52,0.1131,276.8,0
88.03,83.16,0.0563,269.5,1
83.3,80.69,0.0757,268.4,1
75.4,96.61,0.0505,305.0,0
83.9,95.8,0.2462,706.1,1
22.97,27.02,0.0164,129.8,0
91.86,95.32,0.1072,656.8,1
91.8,92.52,0.2449,721.4,1
75.88,57.71,0.0524,219.0,1
58.34,57.96,0.0305,280.4,0
79.39,90.26,0.1119,418.3,1
66.75,56.58,0.0488,233.8,1
72.95,86.56,0.0646,394.3,0
76.06,85.59,0.1193,310.4,0
72.63,83.9,0.0709,298.4,1
59.33,75.57,0.0434,274.8,0
49.35,72.97,0.0716,159.0,0
81.85,94.45,0.1143,441.3,1
88.19,97.86,0.196,722.9,1
85.51,77.68,0.1065,334.2,1
61.71,67.77,0.0417,160.3,1
71.8,60.23,0.0266,250.2,0
69.61,81.98,0.0826,274.1,1
89.42,98.12,0.2555,533.2,1
26.41,51.63,0.0036,147.7,0
53.99,69.54,0.0376,301.1,1
36.09,54.42,0.0311,99.8,0
82.86,85.09,0.0872,272.6,1
94.61,97.87,0.1974,434.7,1
64.0,74.39,0.0296,187.0,1
68.99,71.39,0.0494,255.6,1
16.81,58.31,0.037,163.1,0
91.99,100,0.1647,735.6,1
97.81,95.9,0.1321,459.8,1
57.31,70.42,0.0703,277.1,0
91.42,99.34,0.15,468.7,1
92.69,91.0,0.294,559.0,1
76.12,83.56,0.1004,249.4,0
45.68,26.15,0.0216,182.3,0
41.72,38.0,0.0115,79.5,0
53.55,59.75,0.0303,163.7,0
88.33,86.03,0.0562,280.1,1
69.8,65.19,0.0685,203.9,0
40.39,26.11,0.0297,74.3,0
73.86,85.8,0.0938,413.4,1
98.26,96.05,0.1132,538.4,1
69.42,65.2,0.0596,213.4,1
35.03,57.11,0.0164,179.3,0
75.36,87.78,0.0536,420.0,0
49.85,38.83,0.0121,197.7,0
94.5,94.23,0.2736,703.3,1
64.03,68.99,0.035,208.4,0
87.32,92.13,0.2231,727.7,1
53.31,74.81,0.0663,135.4,0
57.2,61.49,0.0189,165.6,0
90.81,82.02,0.1121,251.8,1
70.67,75.82,0.0503,304.5,0
20.87,30.53,0.0331,69.1,0
89.91,83.71,0.1067,400.5,1
86.64,95.41,0.276,522.9,1
52.41,69.01,0.0487,293.5,0
46.08,58.22,0.0229,198.7,0
33.84,62.71,0.0148,93.4,0
84.1,84.17,0.0804,442.0,1
47.67,47.7,0.0076,75.8,0
65.37,65.29,0.0487,241.0,1
32.4,31.77,0.0237,94.7,0
89.02,92.96,0.0522,322.4,0
59.46,60.7,0.024,241.2,1
44.07,61.31,0.0115,53.9,0
67.78,72.57,0.0253,240.4,1
71.91,78.42,0.1173,362.1,0
56.96,38.52,0.0195,112.3,0
19.21,33.16,0.0168,122.5,0
73.51,55.82,0.0246,229.3,0
78.5,89.14,0.0667,388.1,1
94.98,94.3,0.2189,471.3,1
52.84,27.73,0.0253,51.7,0
60.83,31.46,0.0403,142.8,0
62.74,66.91,0.0505,166.1,0
74.14,78.65,0.0981,260.2,1
74.92,69.14,0.0678,211.3,0
95.76,91.61,0.2268,663.5,1
72.1,89.08,0.0982,252.6,0
77.08,85.0,0.1099,454.6,0
73.68,84.68,0.0932,401.7,1
52.42,28.89,0.0073,110.4,0
97.44,95.48,0.1684,603.7,1
76.28,77.11,0.0606,405.6,0
24.16,42.54,0.0224,109.9,0
44.78,36.17,0.0121,148.6,0
86.25,92.35,0.1534,782.0,1
53.04,55.7,0.0266,164.0,0
86.4,82.07,0.0844,389.1,0
38.74,24.24,0.0389,171.9,0
47.88,31.09,0.0114,65.4,0
77.83,84.85,0.0708,259.7,1
51.29,59.21,0.0294,281.7,0
89.74,98.84,0.2172,730.5,1
89.08,94.2,0.2206,758.3,1
45.22,38.96,0.0379,134.2,0
52.31,19.7,0.0032,169.7,0
31.99,59.97,0.0214,67.2,0
77.63,88.82,0.0594,286.8,0
92.5,94.27,0.2132,710.3,1
34.13,58.63,0.0145,183.1,0
47.79,39.93,0.0388,157.2,0
71.95,73.69,0.0628,224.8,1
99.17,99.0,0.1535,427.2,1
77.33,86.05,0.082,291.8,0
75.59,77.08,0.0871,261.5,1
54.78,52.79,0.0144,173.4,0
67.81,71.36,0.0674,260.5,0
83.88,90.56,0.0638,363.8,1
85.53,82.44,0.0762,384.4,1
27.04,24.68,0.041,85.5,0
92.17,90.24,0.0985,538.3,1
54.21,73.16,0.0363,215.9,0
75.93,84.77,0.109,362.2,1
77.86,75.0,0.1146,353.8,0
89.47,98.81,0.2945,538.0,1
61.01,57.01,0.0249,145.4,0
79.63,85.18,0.1117,347.0,1
22.23,24.0,0.0116,44.8,0
85.12,84.16,0.0933,274.4,1
87.58,96.86,0.1435,440.1,1
100,94.33,0.3006,725.2,1
51.25,55.65,0.0654,241.1,0
97.84,92.09,0.1802,641.5,1
88.62,89.92,0.2297,647.4,1
32.21,41.94,0.0133,184.0,0
68.01,80.66,0.03,301.4,1
59.78,71.45,0.0397,176.5,0
73.72,64.36,0.0371,200.4,0
93.74,97.61,0.2722,420.1,1
30.23,42.86,0.0059,107.9,0
95.92,90.36,0.1949,575.5,1
48.86,71.96,0.07,288.9,0
25.92,27.26,0.019,67.2,0
92.31,92.68,0.1897,766.3,1
85.08,77.08,0.1131,412.4,0
73.28,78.5,0.0474,181.3,0
87.96,90.42,0.2849,497.2,1
32.06,63.34,0,182.3,0
60.94,60.47,0.0676,280.7,0
23.78,39.02,0.0274,184.6,0
86.19,90.82,0.1874,415.9,1
96.78,92.12,0.2209,558.2,1
75.39,76.88,0.1008,261.2,1
83.04,75.62,0.1109,276.8,0
71.44,90.65,0.0908,256.2,1
75.19,64.67,0.0308,181.8,0
55.8,51.63,0.0085,115.6,0
68.44,77.2,0.0461,320.4,1
84.39,94.97,0.1558,721.7,1
89.79,89.44,0.2854,715.9,1
70.41,92.18,0.0918,451.6,1
53.84,74.44,0.0583,208.0,0
29.38,56.9,0.007,109.2,0
56.66,57.65,0.0166,187.2,0
70.23,77.16,0.0575,303.2,0
93.89,95.3,0.1357,396.9,1
50.53,78.54,0.0389,270.1,0
84.54,99.33,0.2726,725.4,1
87.37,91.31,0.0948,319.2,1
80.04,88.95,0.1218,256.6,1
86.24,85.09,0.1139,334.0,0
90.87,87.05,0.1185,245.1,1
55.09,71.82,0.0491,216.3,1
64.82,72.84,0.0644,233.6,0
49.34,53.56,0.0333,149.7,0
63.31,72.26,0.0637,255.2,0
94.8,98.28,0.2368,770.7,1
91.63,91.35,0.2536,493.0,1
44.36,41.61,0.0232,101.8,0
86.84,80.36,0.1014,360.2,0
94.28,99.99,0.2466,443.5,1
99.2,100,0.1193,559.6,1
73.99,67.74,0.0688,256.8,0
92.15,98.54,0.1893,722.0,1
31.26,41.84,0.0433,90.4,0
59.69,51.18,0.0008,169.9,0
57.46,54.27,0.0482,232.4,0
74.17,79.94,0.0651,348.1,1
55.18,72.91,0.0677,282.0,0
84.93,82.57,0.079,301.8,1
27.11,55.08,0.0125,62.8,0
55.1,25.47,0.0073,57.7,0
81.48,89.98,0.1076,256.0,0
61.69,72.93,0.0633,263.2,0
72.2,67.66,0.0324,250.6,1
57.48,34.9,0.0183,179.4,0
77.82,86.17,0.0814,343.3,1
98.58,91.56,0.2399,411.8,1
61.85,65.98,0.0537,260.3,1
52.16,70.2,0.0341,206.3,1
84.05,95.44,0.2921,659.6,1
81.76,85.05,0.0925,416.6,1
69.84,74.08,0.0536,256.6,0
54.49,74.42,0.0268,224.4,1
60.99,70.45,0.0428,191.6,0
95.61,97.54,0.2883,438.1,1
58.41,65.74,0.0051,204.6,0
81.44,81.15,0.1038,284.9,1
97.32,100,0.1864,672.4,1
60.37,66.41,0.0356,232.2,0
76.68,86.19,0.0822,427.8,1
64.83,57.46,0.0451,278.1,1
88.83,94.96,0.1047,459.7,1
94.23,95.34,0.2045,713.1,1
99.41,95.87,0.1775,440.8,1
71.0,88.29,0.0619,327.7,1
58.73,46.76,0.0074,33.0,0
92.16,97.4,0.1779,414.6,1
70.93,79.04,0.0817,365.5,1
79.56,90.09,0.0684,262.2,0
36.83,51.76,0.0037,79.1,0
65.48,80.22,0.0282,268.5,1
90.31,97.01,0.2222,525.1,1
70.94,66.88,0.0464,248.3,0
84.49,77.16,0.0676,348.5,0
72.31,91.88,0.0626,338.7,1
96.26,98.69,0.2414,589.6,1
53.87,33.62,0.0219,75.3,0
80.45,81.05,0.0902,316.9,1
86.63,95.45,0.2359,580.0,1
54.93,62.74,0.0283,179.5,0
57.85,42.31,0.034,195.1,0
80.4,92.03,0.0509,327.8,1
67.81,70.92,0.0662,141.8,0
81.65,94.15,0.093,279.8,1
100,96.9,0.1234,642.7,1
82.51,87.54,0.0859,326.6,0
83.48,94.73,0.1119,278.5,1
87.37,87.91,0.1128,340.7,1
93.02,94.74,0.1898,586.3,1
87.87,81.45,0.0552,453.0,1
99.66,99.95,0.2366,804.7,1
55.39,79.31,0.0437,145.9,1
62.47,74.35,0.0405,153.3,0
65.64,60.68,0.0659,295.7,0
91.05,76.01,0.048,404.8,1
69.87,78.43,0.0536,284.5,1
77.21,93.03,0.1059,284.9,1
92.37,99.51,0.2797,580.9,1
78.59,84.25,0.0714,329.4,1
57.99,57.24,0.0327,242.1,0
77.81,92.07,0.0943,403.5,0
80.34,74.39,0.062,300.7,1
85.0,95.4,0.2766,501.6,1
99.62,90.82,0.1878,750.7,1
72.7,75.91,0.0873,325.1,0
71.44,64.85,0.0212,267.0,0
85.24,91.65,0.1152,395.5,1
69.69,75.61,0.041,240.9,0
88.82,100,0.2519,482.0,1
97.01,91.13,0.2384,709.2,1
88.48,85.22,0.105,388.4,0
29.61,22.96,0.0225,130.5,0
79.49,87.42,0.0614,346.8,1
79.21,92.3,0.0653,398.2,1
55.2,70.69,0.0368,206.3,0
88.49,84.78,0.0906,423.8,1
73.11,76.75,0.118,249.1,1
85.79,97.79,0.1243,505.2,1
15.59,50.14,0.0413,92.8,0
91.92,91.14,0.2362,613.4,1
83.75,87.61,0.0757,392.1,1
90.04,74.04,0.0761,412.6,0
30.11,36.64,0.037,193.7,0
74.39,93.64,0.1155,284.5,1
69.89,55.6,0.0505,180.7,1
87.59,94.19,0.1261,726.8,1
77.49,76.8,0.0998,373.7,1
67.23,58.24,0.0252,286.8,0
87.51,95.14,0.261,421.7,1
30.54,57.64,0.0095,113.0,0
93.06,91.14,0.1253,744.7,1
59.82,57.09,0.0066,95.5,0
78.16,78.89,0.0925,370.6,1
86.69,96.86,0.1191,454.4,1
62.8,78.5,0.0222,197.6,0
39.78,51.78,0.0089,107.1,0
39.95,24.06,0.0114,81.9,0
55.04,67.48,0.0669,229.4,1
86.53,99.06,0.1474,630.9,1
90.25,94.34,0.2686,460.3,1
55.12,76.55,0.0494,210.1,0
51.62,43.76,0.0141,144.5,0
96.99,93.93,0.1789,717.2,1
31.08,61.81,0.033,199.4,0
95.99,91.44,0.186,744.0,1
92.02,94.92,0.2719,435.9,1
48.72,35.79,0.0286,173.4,0
89.16,91.45,0.1635,748.9,1
76.31,87.89,0.0969,369.7,1
89.15,93.81,0.2766,783.2,1
77.43,94.66,0.0531,362.6,0
82.02,78.49,0.1025,331.5,1
52.66,60.47,0.019,185.6,0
80.31,88.11,0.1114,292.3,1
88.14,97.94,0.2152,572.5,1
19.75,55.11,0.0129,70.4,0
97.6,92.4,0.2114,462.4,1
20.15,46.71,0.0187,153.0,0
89.21,80.21,0.0823,462.8,1
63.69,56.33,0.0352,145.3,0
88.92,83.49,0.0746,353.0,0
54.15,76.01,0.0697,302.9,0
96.3,98.66,0.1819,629.8,1
84.87,88.48,0.0522,404.3,0
72.09,78.28,0.0677,400.3,1
79.3,78.46,0.1053,361.9,1
84.63,85.95,0.1092,284.8,1
94.65,92.84,0.269,811.2,1
85.41,95.3,0.2025,806.7,1
44.83,39.25,0.0141,122.5,0
56.48,57.05,0.0428,186.2,0
43.96,50.98,0.0073,48.6,0
80.89,80.84,0.0833,282.8,1
82.75,78.19,0.1175,300.2,1
84.33,89.42,0.1124,427.3,0
85.38,86.72,0.094,356.1,1
99.5,96.26,0.2679,519.3,1
97.69,97.64,0.1994,646.9,1
19.25,38.27,0.0055,208.7,0
50.72,71.09,0.0353,204.8,0
88.57,79.39,0.0895,394.1,1
16.91,43.9,0.0399,131.2,0
41.66,25.6,0.0066,118.7,0
21.88,38.23,0.0372,196.4,0
84.48,91.51,0.2538,680.6,1
69.01,73.41,0.0236,263.0,0
39.57,42.78,0.0327,191.1,0
52.47,75.07,0.0575,246.8,0
66.45,73.03,0.0457,189.6,0
96.24,95.26,0.1535,530.5,1
70.88,86.87,0.0597,285.0,1
22.47,36.92,0.0051,92.0,0
50.84,59.94,0.0559,247.2,0
51.35,76.79,0.0606,309.2,0
57.97,65.73,0.0334,240.8,0
61.49,72.18,0.0468,162.6,0
92.88,91.12,0.1237,591.5,1
88.97,100,0.2071,586.0,1
55.53,75.07,0.0327,163.9,0
14.31,52.77,0.0102,146.1,0
74.1,80.91,0.1004,377.8,1
96.08,100,0.1207,656.9,1
87.53,95.99,0.2383,668.5,1
92.58,99.76,0.2286,563.6,1
53.07,66.98,0.0501,257.0,0
65.82,65.71,0.0494,307.7,0
62.98,70.54,0.0515,252.5,0
66.98,58.04,0.0419,182.5,1
84.0,90.33,0.1014,405.0,0
96.53,97.65,0.1804,597.9,1
90.26,93.6,0.172,633.7,1
71.01,66.16,0.0271,187.0,0
87.57,94.84,0.2236,759.6,1
76.53,83.67,0.0917,309.6,0
14.52,27.28,0.0297,129.9,0
57.52,66.55,0.0568,197.5,0
88.58,93.33,0.2967,551.8,1
26.7,43.14,0.0212,205.4,0
91.19,99.75,0.1864,706.3,1
80.51,88.87,0.0713,350.8,1
87.08,93.61,0.2876,692.8,1
77.3,84.02,0.0714,316.1,1
65.27,73.51,0.0641,264.5,0
78.98,81.11,0.1186,344.2,1
74.03,61.11,0.0579,184.8,0
69.04,57.14,0.0298,238.8,0
56.25,59.88,0.0637,172.3,0
44.13,37.58,0.0285,118.9,0
76.63,80.72,0.0775,422.0,1
95.72,94.57,0.2276,746.1,1
69.33,76.24,0.0424,205.0,0
15.79,56.15,0.0021,129.9,0
83.02,99.6,0.1998,519.8,1
86.02,93.92,0.1191,744.5,1
85.96,97.08,0.2853,627.5,1
25.04,37.4,0.0323,112.9,0
71.47,67.72,0.0417,142.7,0
84.0,79.35,0.1136,409.6,1
72.2,92.25,0.1023,353.0,0
58.42,65.06,0.0635,138.4,0
62.17,71.45,0.0689,210.9,0
34.42,26.4,0.0308,194.1,0
45.56,63.03,0.0391,138.4,0
20.81,23.63,0.014,183.9,0
71.17,70.7,0.0529,194.0,1
50.85,74.42,0.0326,268.8,0
53.34,59.28,0.0289,163.7,0
71.79,76.29,0.0508,412.3,1
58.35,61.28,0.0344,103.0,0
47.23,43.84,0.0027,58.3,0
76.86,93.47,0.0554,347.3,1
33.22,26.3,0.035,94.1,0
80.65,76.47,0.0696,363.3,0
80.48,92.89,0.0968,423.0,0
95.07,94.43,0.28,741.3,1
86.26,100,0.1841,580.6,1
22.29,57.03,0.0236,79.8,0
85.82,97.58,0.1761,415.5,1
97.79,96.55,0.2225,709.2,1
72.57,74.94,0.061,179.6,1
46.07,25.24,0.01,72.5,0
14.27,34.01,0.0293,162.8,0
90.04,75.04,0.1011,235.2,1
40.02,37.21,0.015,85.4,0
54.86,73.26,0.0303,256.2,0
67.26,72.94,0.0379,271.8,0
93.4,93.19,0.2851,742.5,1
68.95,61.18,0.0537,164.2,1
37.87,47.99,0.0366,189.5,0
90.58,84.83,0.0929,430.0,1
87.47,82.12,0.1063,309.9,1
56.33,63.98,0.034,253.1,0
64.05,63.39,0.0694,186.6,0
58.93,38.04,0.0157,108.8,0
90.38,95.59,0.2668,571.2,1
45.22,55.73,0.0277,118.5,0
61.5,55.71,0.0556,212.6,0
45.29,24.9,0.0333,76.9,0
97.79,91.8,0.1952,522.5,1
50.46,49.87,0.0159,82.1,0
98.62,95.84,0.1165,691.8,1
91.33,97.62,0.2425,726.4,1
54.69,42.66,0.013,186.9,0
60.99,62.99,0.0437,278.4,0
55.59,60.72,0.0287,272.2,0
67.25,80.7,0.0571,274.1,0
95.46,94.61,0.1063,417.7,1
83.74,98.14,0.1904,771.1,1
71.12,71.14,0.03,238.6,0
94.17,91.48,0.1851,584.7,1
85.09,80.35,0.0901,424.1,1
84.21,91.74,0.1746,480.9,1
82.29,90.17,0.0953,461.9,0
70.9,94.57,0.0586,266.1,1
27.82,53.76,0.0335,176.0,0
82.43,93.81,0.0992,397.0,1
61.26,74.63,0.0644,181.1,0
91.27,93.72,0.1991,578.1,1
73.04,80.36,0.0963,373.1,0
71.64,91.98,0.1133,273.0,1
15.72,25.24,0.0078,53.3,0
60.66,59.33,0.0459,272.8,0
85.46,99.18,0.2565,755.4,1
28.53,60.57,0.0141,144.5,0
60.88,60.58,0.0214,248.6,1
68.79,58.01,0.0496,212.9,0
87.28,98.91,0.2257,559.8,1
83.49,93.02,0.1689,659.4,1
67.62,76.28,0.0221,309.7,0
96.73,89.15,0.2497,532.3,1
96.78,98.97,0.2631,531.6,1
76.79,85.56,0.0656,300.8,1
82.51,90.72,0.1071,409.8,1
88.4,91.31,0.0785,432.9,1
47.03,24.52,0.0034,107.0,0
84.08,89.29,0.088,310.6,0
75.09,92.47,0.0493,444.9,1
94.11,91.08,0.2238,480.8,1
87.73,73.93,0.0605,307.0,1
55.63,81.25,0.032,155.1,1
94.05,93.44,0.1397,524.2,1
99.76,99.07,0.1465,751.7,1
90.79,93.66,0.1325,404.3,1
16.08,49.0,0.019,107.0,0
88.34,79.03,0.109,358.5,1
86.93,91.59,0.2824,580.0,1
71.94,54.31,0.0557,212.0,0
47.56,58.66,0.0207,131.5,0
59.05,48.44,0.011,142.9,0
91.12,94.33,0.2309,627.0,1
63.57,76.43,0.0431,210.5,0
96.74,93.62,0.2819,728.6,1
77.84,90.98,0.0844,277.8,0
81.72,87.54,0.0461,288.6,0
54.66,44.49,0.0378,76.6,0
35.58,55.28,0.0186,159.2,0
88.07,87.26,0.0504,429.4,1
71.92,89.03,0.1001,260.1,1
89.38,91.17,0.2954,725.0,1
90.59,93.67,0.055,351.9,1
67.58,59.64,0.0241,186.7,0
70.89,81.88,0.066,378.2,1
70.46,58.03,0.042,187.1,0
81.91,89.58,0.0691,356.7,1
55.19,74.35,0.0523,198.6,0
68.54,78.59,0.0419,178.6,1
78.2,83.69,0.0777,337.2,1
58.48,24.89,0.0155,168.7,0
91.86,96.8,0.1655,739.4,1
83.9,84.16,0.0579,298.8,1
95.13,95.35,0.2555,633.8,1
53.43,43.95,0.0268,160.3,0
93.13,98.47,0.1564,614.8,1
87.16,92.76,0.2127,724.3,1
87.76,93.8,0.0916,297.4,1
34.32,27.35,0.0236,94.3,0
59.08,56.91,0.0272,202.5,0
71.57,77.89,0.0424,246.6,0
46.75,27.29,0.0034,204.4,0
82.44,92.5,0.0777,392.8,1
100,100,0.2325,500.2,1
92.26,89.75,0.2671,648.3,1
37.52,53.64,0.0013,79.0,0
84.88,76.4,0.0957,358.9,0
73.29,73.64,0.0415,234.4,0
57.87,19.82,0.0116,178.0,0
51.8,64.1,0.0196,244.5,1
62.67,56.61,0.0657,267.6,0
41.94,47.75,0.0241,89.0,0
92.7,93.44,0.2768,744.2,1
23.27,26.98,0.034,107.5,0
25.26,49.15,0.0118,148.9,0
94.11,96.29,0.2072,664.1,1
57.31,68.6,0.058,198.7,0
73.56,91.67,0.0682,323.5,1
97.14,95.33,0.1049,625.8,1
89.76,100,0.2007,769.1,1
55.61,74.27,0.0484,264.3,1
90.04,95.56,0.2072,508.5,1
98.78,96.05,0.3022,797.0,1
82.33,89.34,0.1156,326.7,1
85.92,82.48,0.0793,402.1,0
93.63,92.27,0.1483,639.3,1
77.23,78.28,0.0783,272.1,0
89.85,93.86,0.1213,531.2,1
82.36,87.41,0.1098,324.5,1
44.0,64.5,0.0409,190.9,0
96.42,90.24,0.2686,656.9,1
15.53,20.13,0.0425,151.8,0
73.64,88.4,0.085,333.2,1
88.5,94.71,0.1679,450.3,1
49.85,28.95,0.0399,130.7,0
95.69,95.46,0.1758,504.2,1
54.01,67.18,0.0478,190.4,0
49.44,60.8,0.0496,212.4,0
22.32,29.1,0.0036,97.9,0
91.46,94.08,0.1832,791.7,1
23.32,54.19,0.0089,67.9,0
95.08,91.51,0.2205,511.0,1
51.94,39.38,0.0308,67.9,0
68.13,78.31,0.019,263.0,0
88.72,99.62,0.2813,621.8,1
57.3,65.64,0.0356,265.4,0
68.86,62.79,0.0581,240.5,1
41.3,30.49,0.0133,94.3,0
77.85,90.76,0.0994,280.0,1
97.13,91.22,0.193,560.0,1
77.5,78.82,0.0662,379.7,1
74.37,70.85,0.0471,204.9,0
95.88,92.7,0.1728,440.3,1
48.81,24.41,0,97.2,0
55.33,71.26,0.0446,190.3,0
86.17,77.34,0.0778,412.6,1
83.18,93.16,0.0745,257.4,1
87.4,90.73,0.2098,657.2,1
61.42,75.28,0.0646,277.0,0
47.16,22.54,0.0255,173.6,0
88.38,77.05,0.0889,377.0,0
63.03,64.91,0.0657,261.6,0
26.01,48.33,0.0023,101.3,0
88.86,90.66,0.1971,492.8,1
60.84,58.16,0.0115,97.9,0
70.52,73.36,0.0501,247.8,0
18.71,36.95,0.0167,161.0,0
80.87,87.8,0.099,346.1,1
59.96,78.85,0.0668,244.9,0
94.6,90.58,0.1309,430.1,1
94.92,91.51,0.1809,599.4,1
59.15,70.82,0.0289,157.2,0
64.26,72.16,0.061,188.2,0
85.75,93.74,0.0713,354.4,0
83.47,76.33,0.0656,443.1,1
89.14,100,0.2621,622.0,1
29.16,64.82,0.0238,116.3,0
54.98,49.11,0.0135,129.2,0
78.1,74.72,0.0865,441.5,1
93.54,100,0.1877,528.9,1
31.33,37.07,0.0314,99.8,0
72.8,94.32,0.0902,290.4,1
95.81,96.27,0.1482,495.5,1
53.75,56.43,0.0251,187.3,0
75.87,73.35,0.0634,249.8,0
18.73,34.1,0.016,162.0,0
88.5,100,0.2415,545.1,1
51.25,59.94,0.0281,170.3,0
64.91,54.02,0.0607,179.0,0
84.87,81.35,0.1022,395.2,0
16.08,44.55,0.0288,76.8,0
46.74,19.37,0.0033,94.2,0
77.8,87.06,0.0578,393.8,1
86.3,74.56,0.0856,456.5,1
81.23,84.05,0.0949,370.5,1
80.26,77.54,0.1077,439.0,1
80.13,80.25,0.0719,416.3,0
63.0,60.76,0.0305,182.5,1
87.03,78.52,0.0934,369.6,1
89.64,94.99,0.2117,661.4,1
93.51,95.93,0.2876,786.2,1
58.28,64.12,0.0124,56.4,0
39.6,59.85,0.0062,122.5,0
75.19,81.52,0.1043,248.3,0
90.19,89.37,0.146,725.5,1
72.72,84.98,0.0772,274.6,1
66.85,72.5,0.0523,234.3,0
89.53,100,0.2359,756.2,1
74.37,82.37,0.0969,237.0,1
98.05,90.55,0.259,713.3,1
33.49,55.2,0.0445,136.3,0
64.73,64.16,0.0294,221.0,1
94.56,100,0.2255,710.0,1
27.17,49.88,0.0058,190.1,0
80.32,74.74,0.0526,325.3,1
97.79,91.47,0.2628,773.6,1
82.46,88.0,0.0927,416.6,1
86.18,91.02,0.2051,415.8,1
81.38,89.14,0.0664,298.1,1
67.35,74.2,0.0492,219.5,1
15.09,39.92,0.0174,55.3,0
84.65,75.18,0.114,382.5,0
56.38,67.34,0.0505,284.9,0
56.96,77.13,0.0288,233.5,0
58.11,75.07,0.0569,244.1,0
62.6,61.8,0.0449,190.9,0
54.61,78.66,0.068,308.7,0
86.89,86.76,0.0683,396.9,0
91.14,98.03,0.2431,663.2,1
68.73,77.28,0.0529,351.4,1
